Epoch:  1 ; lr:  0.0038009499999999865 ; Loss:  3.8986140197753905 ; Train Acc:  0.333199759567221 ; Val. Acc:  0.26693629929221435 ; Best:  0.26693629929221435
Epoch:  2 ; lr:  0.0038009499999999865 ; Loss:  1.2383717443466187 ; Train Acc:  0.5799438990182328 ; Val. Acc:  0.6056622851365016 ; Best:  0.6056622851365016
Epoch:  3 ; lr:  0.0038009499999999865 ; Loss:  0.8967547673225403 ; Train Acc:  0.7063714686435584 ; Val. Acc:  0.32204246713852375 ; Best:  0.6056622851365016
Epoch:  4 ; lr:  0.0038009499999999865 ; Loss:  0.6712420899391174 ; Train Acc:  0.7846123021438589 ; Val. Acc:  0.6314459049544995 ; Best:  0.6314459049544995
Epoch:  5 ; lr:  0.0038009499999999865 ; Loss:  0.5974802184104919 ; Train Acc:  0.8097575636145061 ; Val. Acc:  0.5621840242669363 ; Best:  0.6314459049544995
Epoch:  6 ; lr:  0.0038009499999999865 ; Loss:  0.5265922470569611 ; Train Acc:  0.8338008415147266 ; Val. Acc:  0.7158746208291203 ; Best:  0.7158746208291203
Epoch:  7 ; lr:  0.0038009499999999865 ; Loss:  0.4698790355205536 ; Train Acc:  0.851132037667802 ; Val. Acc:  0.589989888776542 ; Best:  0.7158746208291203
Epoch:  8 ; lr:  0.0038009499999999865 ; Loss:  0.495509672164917 ; Train Acc:  0.8503305950711281 ; Val. Acc:  0.782103134479272 ; Best:  0.782103134479272
Epoch:  9 ; lr:  0.0038009499999999865 ; Loss:  0.3875829179763794 ; Train Acc:  0.8753756762171909 ; Val. Acc:  0.7770475227502528 ; Best:  0.782103134479272
Epoch:  10 ; lr:  0.0038009499999999865 ; Loss:  0.3931630694389343 ; Train Acc:  0.8775796433580445 ; Val. Acc:  0.8169868554095046 ; Best:  0.8169868554095046
Epoch:  11 ; lr:  0.0038009499999999865 ; Loss:  0.35816205506324766 ; Train Acc:  0.8870967741935484 ; Val. Acc:  0.8483316481294236 ; Best:  0.8483316481294236
Epoch:  12 ; lr:  0.0038009499999999865 ; Loss:  0.3477266427755356 ; Train Acc:  0.8904027249048287 ; Val. Acc:  0.7912032355915066 ; Best:  0.8483316481294236
Epoch:  13 ; lr:  0.0038009499999999865 ; Loss:  0.31951870074272154 ; Train Acc:  0.8968142656782208 ; Val. Acc:  0.8468149646107179 ; Best:  0.8483316481294236
